Player key,Age,Age when joined,Appearances,Assists,Assists p90,Competition,Foot,Games started,Goals,Goals p90,Height,In squad,Market value,Minutes played,PPG,Position group,Red cards,Second yellow cards,Shirt number,Substitutions off,Substitutions on,Years in team,Yellow cards,Yellow cards p90,Market value (prediction)
John Johnson (09/10),21.0,17.295358563146404,0.0,0.0,0.0,"Championship, FA Cup, League Cup",right,0.0,0.0,0.0,183.0,0.0,0.056,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,4.999418194761015,0.0,0.0,0.9109179071381692
John Johnson (10/11),21.0,,0.0,0.0,0.0,Championship,,0.0,0.0,0.0,,0.0,,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.2823752151206371
John Mikel Obi (18/19),32.0,31.75972128106669,18.0,0.0,0.0,"Championship, FA Cup, League Cup",right,18.0,0.0,0.0,188.0,1.0,3.15,1572.0,1.3305555555555557,M,0.0,0.0,2.0,3.0,0.0,0.4325893071041842,3.0,0.1717557251908397,2.4005316856206775
Jonathan Franks (09/10),19.0,18.23172275953647,38.0,1.0,0.0907258064516129,"Championship, FA Cup, League Cup",both,24.0,3.0,0.2721774193548387,174.0,35.0,0.075,992.0,1.3534210526315789,M,0.0,0.0,0.0,4.0,14.0,1.9986721151016105,0.0,0.0,0.5670579904423754
Jonathan Franks (10/11),20.0,18.23172275953647,39.0,1.0,0.09900990099009901,"Championship, FA Cup, League Cup",both,24.0,3.0,0.297029702970297,174.0,34.0,0.563,909.0,1.3187179487179488,M,0.0,0.0,0.0,4.0,15.0,2.998008172652416,0.0,0.0,0.5755931106459344
Jonathan Franks (11/12),21.0,18.23172275953647,0.0,0.0,0.0,"Championship, FA Cup, League Cup",both,0.0,0.0,0.0,174.0,2.0,0.563,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,4.000082137210209,0.0,0.0,0.6719940198480197
Jonathan Grounds (09/10),21.0,19.40902277254153,24.0,2.0,0.11936339522546419,"Championship, FA Cup, League Cup",left,20.0,0.0,0.0,185.0,39.0,0.3,1508.0,1.3500000000000003,D,0.0,0.0,0.0,2.0,4.0,3.0007460796594043,1.0,0.05968169761273209,0.6986038122349023
Jonathan Grounds (10/11),22.0,19.40902277254153,25.0,2.0,0.11370814908401769,"Championship, FA Cup, League Cup",left,21.0,0.0,0.0,185.0,38.0,0.563,1583.0,1.4160000000000001,D,0.0,0.0,0.0,3.0,4.0,4.000082137210209,2.0,0.11370814908401769,0.7739432493662532
Jonathan Grounds (11/12),23.0,19.40902277254153,0.0,0.0,0.0,"Championship, FA Cup, League Cup",left,0.0,0.0,0.0,185.0,1.0,0.563,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,5.002156101768003,0.0,0.0,0.7735338105204317
Jonathan Howson (17/18),30.0,29.128592647350732,54.0,2.0,0.048179871520342615,"Championship, Championship Playoffs, FA Cup, League Cup",right,48.0,3.0,0.07226980728051392,180.0,51.0,4.5,3736.0,1.645,M,0.0,0.0,16.0,8.0,6.0,0.9829086155088742,8.0,0.19271948608137046,2.9490966655245896
Jonathan Howson (18/19),30.0,29.128592647350732,48.0,6.0,0.13695155972609688,"Championship, FA Cup, League Cup",right,46.0,1.0,0.02282525995434948,180.0,1.0,4.5,3943.0,1.5275,M,0.0,0.0,16.0,5.0,2.0,1.9822446730596794,7.0,0.15977681968044635,3.537530173654834
Jonathan Howson (19/20),31.0,29.128592647350732,35.0,5.0,0.144,"Championship, FA Cup, League Cup",right,35.0,0.0,0.0,180.0,2.0,2.52,3125.0,1.0845714285714285,M,0.0,0.0,16.0,1.0,0.0,2.9843186376174735,7.0,0.2016,2.8841008464482782
Jonathan Woodgate (12/13),32.0,32.45514966084177,25.0,0.0,0.0,"Championship, FA Cup, League Cup",right,25.0,1.0,0.045988758303525806,188.0,25.0,1.13,1957.0,1.4447999999999999,D,0.0,1.0,0.0,8.0,0.0,0.9856465225158627,3.0,0.13796627491057742,1.6111339339734483
Jonathan Woodgate (13/14),33.0,32.45514966084177,26.0,1.0,0.04411764705882353,"Championship, FA Cup, League Cup",right,25.0,0.0,0.0,188.0,27.0,0.563,2040.0,1.16,D,0.0,0.0,39.0,5.0,1.0,1.984982580066668,3.0,0.1323529411764706,1.8757052065554776
Jonathan Woodgate (14/15),34.0,32.45514966084177,12.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",right,9.0,1.0,0.1505016722408027,188.0,21.0,0.225,598.0,2.6774999999999998,D,0.0,0.0,39.0,1.0,3.0,2.9843186376174735,0.0,0.0,1.507027799770079
Jonathan Woodgate (15/16),36.0,32.45514966084177,1.0,0.0,0.0,"Championship, FA Cup, League Cup",right,1.0,0.0,0.0,188.0,3.0,0.188,97.0,3.0,D,0.0,0.0,39.0,1.0,0.0,3.986392602175267,0.0,0.0,1.1651061052833638
Jordan Hugill (18/19),26.0,26.177128893817123,58.0,2.0,0.0855106888361045,"Championship, FA Cup, League Cup",right,41.0,7.0,0.2992874109263658,183.0,5.0,7.2,2105.0,1.416206896551724,F,0.0,0.0,11.0,13.0,17.0,0.8952955912852419,7.0,0.2992874109263658,4.073814636660677
Jordan Jones (12/13),17.0,,2.0,0.0,0.0,"Championship, FA Cup, League Cup",,1.0,0.0,0.0,174.0,1.0,,29.0,3.0,M,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.5751684706859553
Jordan Jones (14/15),19.0,,0.0,0.0,0.0,"Championship, Championship Playoffs, FA Cup, League Cup",,0.0,0.0,0.0,174.0,0.0,,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6187778369022495
Jordan Rhodes (15/16),26.0,25.988213310334913,23.0,3.0,0.23255813953488372,"Championship, FA Cup, League Cup",right,18.0,6.0,0.46511627906976744,185.0,19.0,7.5,1161.0,1.7200000000000002,F,0.0,0.0,9.0,9.0,5.0,0.41342395805526466,1.0,0.07751937984496124,2.6184250678318324
Jordan Rhodes (16/17),27.0,,10.0,0.0,0.0,"FA Cup, League Cup, Premier League",,6.0,0.0,0.0,,18.0,,208.0,0.67,F,0.0,0.0,9.0,1.0,4.0,,0.0,0.0,1.8930496006395536
Josh McEachran (12/13),19.0,19.471994633702266,41.0,4.0,0.12521739130434784,"Championship, FA Cup, League Cup",left,38.0,0.0,0.0,178.0,40.0,3.38,2875.0,1.45,M,0.0,0.0,0.0,17.0,3.0,0.8624407072013799,4.0,0.12521739130434784,1.2699867408853591
Josh Walker (09/10),20.0,16.356256459749346,1.0,0.0,0.0,"Championship, FA Cup, League Cup",right,1.0,0.0,0.0,180.0,6.0,0.375,59.0,3.0,M,0.0,0.0,0.0,1.0,0.0,4.999418194761015,0.0,0.0,1.1474094349909092
Josh Walker (10/11),21.0,16.356256459749346,2.0,1.0,0.6040268456375839,"Championship, FA Cup, League Cup",right,2.0,0.0,0.0,180.0,7.0,0.375,149.0,3.0,M,0.0,0.0,0.0,1.0,0.0,5.99875425231182,0.0,0.0,1.1686888712804677
Julien de Sart (15/16),21.0,21.109263023881393,4.0,0.0,0.0,"Championship, FA Cup, League Cup",right,2.0,0.0,0.0,187.0,18.0,1.5,2.0,3.0,M,0.0,0.0,16.0,0.0,2.0,0.41342395805526466,0.0,0.0,1.4253878010857242
Julien de Sart (16/17),22.0,21.109263023881393,2.0,0.0,0.0,"FA Cup, League Cup, Premier League",right,2.0,0.0,0.0,187.0,5.0,1.7,240.0,0.0,M,0.0,0.0,23.0,0.0,0.0,1.41276001560607,0.0,0.0,1.9553194426989036
Julien de Sart (18/19),24.0,,0.0,0.0,0.0,League Cup,,0.0,0.0,0.0,,1.0,,0.0,0.0,M,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.45036767654072923
Julio Arca (09/10),28.0,25.48170051404204,44.0,3.0,0.1083902047370534,"Championship, FA Cup, League Cup",left,36.0,0.0,0.0,175.0,43.0,1.95,2491.0,1.1836363636363636,M,0.0,0.0,0.0,13.0,8.0,3.931634462035497,7.0,0.25291047771979125,1.4763648805915137
Julio Arca (10/11),29.0,25.48170051404204,45.0,3.0,0.10444874274661509,"Championship, FA Cup, League Cup",left,37.0,1.0,0.03481624758220503,175.0,44.0,1.88,2585.0,1.224,M,0.0,0.0,0.0,11.0,8.0,4.930970519586302,7.0,0.2437137330754352,1.5071256409230993
Julio Arca (11/12),30.0,25.48170051404204,42.0,3.0,0.13493253373313344,"Championship, FA Cup, League Cup",left,33.0,0.0,0.0,175.0,41.0,1.5,2001.0,1.618095238095238,M,1.0,0.0,0.0,15.0,9.0,5.933044484144096,4.0,0.17991004497751126,1.1158785005980518
Julio Arca (12/13),31.0,25.48170051404204,3.0,0.0,0.0,"Championship, FA Cup, League Cup",left,3.0,0.0,0.0,175.0,9.0,0.75,236.0,2.0,M,0.0,0.0,0.0,2.0,0.0,6.932380541694902,0.0,0.0,1.2375501317332338
Justin Hoyte (09/10),24.0,23.696585145485532,39.0,1.0,0.0389779125162408,"Championship, FA Cup, League Cup",right,32.0,1.0,0.0389779125162408,180.0,45.0,1.5,2309.0,1.2997435897435898,D,0.0,0.0,0.0,4.0,7.0,1.913796997884967,1.0,0.0389779125162408,0.9950408124325485
Justin Hoyte (10/11),25.0,23.696585145485532,40.0,1.0,0.03799071338117349,"Championship, FA Cup, League Cup",right,33.0,1.0,0.03799071338117349,180.0,46.0,1.5,2369.0,1.3422500000000002,D,0.0,0.0,0.0,4.0,7.0,2.913133055435772,1.0,0.03799071338117349,1.0192840061583017
Justin Hoyte (11/12),26.0,23.696585145485532,44.0,6.0,0.14481094127111827,"Championship, FA Cup, League Cup",right,44.0,0.0,0.0,180.0,48.0,1.13,3729.0,1.4795454545454545,D,0.0,0.0,0.0,11.0,0.0,3.915207019993566,2.0,0.04827031375703942,1.4831926535045885
Justin Hoyte (12/13),27.0,23.696585145485532,36.0,0.0,0.0,"Championship, FA Cup, League Cup",right,34.0,1.0,0.03312476996687523,180.0,35.0,1.13,2717.0,1.3491666666666666,D,0.0,0.0,0.0,5.0,2.0,4.914543077544371,1.0,0.03312476996687523,1.508536034608784
Justin Hoyte (13/14),28.0,23.696585145485532,6.0,0.0,0.0,"Championship, FA Cup, League Cup",right,4.0,0.0,0.0,180.0,9.0,1.13,206.0,1.3916666666666666,D,0.0,0.0,0.0,0.0,2.0,5.9138791350951765,0.0,0.0,0.9251565283766139
Jérémie Aliadière (09/10),26.0,24.25511817491119,25.0,3.0,0.19327129563350035,"Championship, FA Cup, League Cup",right,21.0,4.0,0.25769506084466715,183.0,21.0,3.0,1397.0,1.2960000000000003,F,0.0,0.0,0.0,9.0,4.0,3.0007460796594043,1.0,0.06442376521116679,2.303163856037923
Jérémie Aliadière (10/11),26.0,,24.0,3.0,0.2054794520547945,Championship,,20.0,4.0,0.273972602739726,,20.0,,1314.0,1.3500000000000003,F,0.0,0.0,0.0,8.0,4.0,,1.0,0.0684931506849315,2.1865830778155106
